I/O Type Specific,Terminal Style,Rung Placement,Labeling Scheme,Notes,Default Standard,Terminal Style Definition,Term Brand,IT or MT,Fusing,Card Power Term L1,Card Power Term L2,Term Short Name
AI-C-DF,,,,,NO TERMINALS,,,,,,,
AI-C-LP,Fj&L&G|PXC|24V,0&1&3,#+&#&SH,,,Fj&L&G|PXC|24V|0&1&3|#+&#&SH,PXC,IT,Fused,No,No,TBD
AI-C-LP,Fj&L&G|TE|24V,0&1&3,#+&#&SH,,,Fj&L&G|TE|24V|0&1&3|#+&#&SH,TE,IT,Fused,No,No,TBD
AI-C-LP,Fj&L&G|WAGO|24V,0&1&3,#+&#&SH,,,Fj&L&G|WAGO|24V|0&1&3|#+&#&SH,WAGO,IT,Fused,No,No,TBD
AI-C-LP,Fj&L&G2|PXC|24V,0&1&3,#+&#&SH,,INTERSTATES F-IT,Fj&L&G2|PXC|24V|0&1&3|#+&#&SH,PXC,IT,Fused,No,No,TBD
AI-C-LP,Fj&L&G2|TE|24V,0&1&3,#+&#&SH,,,Fj&L&G2|TE|24V|0&1&3|#+&#&SH,TE,IT,Fused,No,No,TBD
AI-C-LP,Fj&L&G2|WAGO|24V,0&1&3,#+&#&SH,,,Fj&L&G2|WAGO|24V|0&1&3|#+&#&SH,WAGO,IT,Fused,No,No,TBD
AI-C-LP,Fj;L&G2&Lc|PXC|24V,0;1&3&0,#+;#-&SH&C,,,Fj;L&G2&Lc|PXC|24V|0;1&3&0|#+;#-&SH&C,PXC,MT&IT,Fused,No,Yes,TBD
AI-C-LP,Fj;L&G2&Lc|TE|24V,0;1&3&0,#+;#-&SH&C,,,Fj;L&G2&Lc|TE|24V|0;1&3&0|#+;#-&SH&C,TE,MT&IT,Fused,No,Yes,TBD
AI-C-LP,Fj;L&G2&Lc|WAGO|24V,0;1&3&0,#+;#-&SH&C,,,Fj;L&G2&Lc|WAGO|24V|0;1&3&0|#+;#-&SH&C,WAGO,MT&IT,Fused,No,Yes,TBD
AI-C-LP,Fj;L&G2|PXC|24V,0;1&3,#A;#B&#SH,,INTERSTATES F-MT,Fj;L&G2|PXC|24V|0;1&3|#A;#B&#SH,PXC,MT&IT,Fused,No,No,TBD
AI-C-LP,Fj;L&G2|TE|24V,0;1&3,#+;#&SH,,,Fj;L&G2|TE|24V|0;1&3|#+;#&SH,TE,MT&IT,Fused,No,No,TBD
AI-C-LP,Fj;L&G2|TE|24V,0;1&3,#A;#B&#SH,,,Fj;L&G2|TE|24V|0;1&3|#A;#B&#SH,TE,MT&IT,Fused,No,No,TBD
AI-C-LP,Fj;L&G2|WAGO|24V,0;1&3,#+;#&SH,,,Fj;L&G2|WAGO|24V|0;1&3|#+;#&SH,WAGO,MT&IT,Fused,No,No,TBD
AI-C-LP,Fj;L&G2|WAGO|24V,0;1&3,#A;#B&#SH,,,Fj;L&G2|WAGO|24V|0;1&3|#A;#B&#SH,WAGO,MT&IT,Fused,No,No,TBD
AI-C-LP,Fj;L&Lj2|PXC|24V,0;1&0,#A;#B&C,,,Fj;L&Lj2|PXC|24V|0;1&0|#A;#B&C,PXC,MT&IT,Fused,No,No,TBD
AI-C-LP,Fj;L;G|PXC|24V,0;1;3,#+;#;#SH,,,Fj;L;G|PXC|24V|0;1;3|#+;#;#SH,PXC,MT,Fused,No,No,TBD
AI-C-LP,Fj;L;G|TE|24V,0;1&3,#+;#;#SH,,,Fj;L;G|TE|24V|0;1&3|#+;#;#SH,TE,MT,Fused,No,No,TBD
AI-C-LP,Fj;L;G|WAGO|24V,0;1&3,#+;#;#SH,,,Fj;L;G|WAGO|24V|0;1&3|#+;#;#SH,WAGO,MT,Fused,No,No,TBD
AI-C-LP,Lj&L&G|PXC|24V,0&1&3,#+&#-&#SH,,,Lj&L&G|PXC|24V|0&1&3|#+&#-&#SH,PXC,IT,None,No,No,TBD
AI-C-LP,Lj&L&G|TE|24V,0&1&3,#+&#-&#SH,,,Lj&L&G|TE|24V|0&1&3|#+&#-&#SH,TE,IT,None,No,No,TBD
AI-C-LP,Lj&L&G|WAGO|24V,0&1&3,#+&#-&#SH,,,Lj&L&G|WAGO|24V|0&1&3|#+&#-&#SH,WAGO,IT,None,No,No,TBD
AI-C-LP,Lj&L&G2|PXC|24V,0&1&3,#+&#-&SH,,INTERSTATES NF-IT,Lj&L&G2|PXC|24V|0&1&3|#+&#-&SH,PXC,IT,None,No,No,TBD
AI-C-LP,Lj&L&G2|TE|24V,0&1&3,#+&#-&SH,,,Lj&L&G2|TE|24V|0&1&3|#+&#-&SH,TE,IT,None,No,No,TBD
AI-C-LP,Lj&L&G2|WAGO|24V,0&1&3,#+&#-&SH,,,Lj&L&G2|WAGO|24V|0&1&3|#+&#-&SH,WAGO,IT,None,No,No,TBD
AI-C-LP,Lj;L&G2|PXC|24V,0;1&3,#A;#B&#SH,,INTERSTATES NF-MT,Lj;L&G2|PXC|24V|0;1&3|#A;#B&#SH,PXC,MT,None,No,No,TBD
AI-C-LP,Lj;L&G2|TE|24V,0;1&3,#+;#&#SH,,,Lj;L&G2|TE|24V|0;1&3|#+;#&#SH,TE,MT,None,No,No,TBD
AI-C-LP,Lj;L&G2|WAGO|24V,0;1&3,#+;#&#SH,,,Lj;L&G2|WAGO|24V|0;1&3|#+;#&#SH,WAGO,MT,None,No,No,TBD
AI-C-LP,Lj;L;G|PXC|24V,0;1;3,#+;#-;#SH,,,Lj;L;G|PXC|24V|0;1;3|#+;#-;#SH,PXC,MT,None,No,No,TBD
AI-C-LP,Lj;L;G|TE|24V,0;1;3,#+;#-;#SH,,,Lj;L;G|TE|24V|0;1;3|#+;#-;#SH,TE,MT,None,No,No,TBD
AI-C-LP,Lj;L;G|WAGO|24V,0;1;3,#+;#-;#SH,,,Lj;L;G|WAGO|24V|0;1;3|#+;#-;#SH,WAGO,MT,None,No,No,TBD
AI-C-LP,,,,,NO TERMINALS,,,,,,,
AI-RTD-2W,L&L&G2|PXC|24V,0&2&3,#+&#-&#SH,,,L&L&G2|PXC|24V|0&2&3|#+&#-&#SH,PXC,IT,None,No,No,TBD
AI-RTD-2W,L&L&G2|TE|24V,0&2&3,#+&#-&#SH,,,L&L&G2|TE|24V|0&2&3|#+&#-&#SH,TE,IT,None,No,No,TBD
AI-RTD-2W,L&L&G2|WAGO|24V,0&2&3,#+&#-&#SH,,,L&L&G2|WAGO|24V|0&2&3|#+&#-&#SH,WAGO,IT,None,No,No,TBD
AI-C-LP,L;L;G|PXC|24V,1;2;3,#+;#-;#SH,,,L;L;G|PXC|24V|0;1;3|#+;#-;#SH,PXC,MT,None,No,No,TBD
AI-RTD-2W,L;L;G|TE|24V,0;2;3,#+;#-;#SH,,,L;L;G|TE|24V|0;2;3|#+;#-;#SH,TE,MT,None,No,No,TBD
AI-RTD-2W,L;L;G|WAGO|24V,0;2;3,#+;#-;#SH,,,L;L;G|WAGO|24V|0;2;3|#+;#-;#SH,WAGO,MT,None,No,No,TBD
AI-RTD-2W,,,,,NO TERMINALS,,,,,,,
AI-RTD-3W,F&L&L&G2|PXC|24V,0&1&2&3,#+&#&#-&#SH,,,F&L&L&G2|PXC|24V|0&1&2&3|#+&#&#-&#SH,PXC,IT,Fused,No,No,TBD
AI-RTD-3W,F&L&L&G2|TE|24V,0&1&2&3,#+&#&#-&#SH,,,F&L&L&G2|TE|24V|0&1&2&3|#+&#&#-&#SH,TE,IT,Fused,No,No,TBD
AI-RTD-3W,F&L&L&G2|WAGO|24V,0&1&2&3,#+&#&#-&#SH,,,F&L&L&G2|WAGO|24V|0&1&2&3|#+&#&#-&#SH,WAGO,IT,Fused,No,No,TBD
AI-RTD-3W,L&L&L&G2|PXC|24V,0&1&2&3,#+&#&#-&#SH,,,L&L&L&G2|PXC|24V|0&1&2&3|#+&#&#-&#SH,PXC,IT,None,No,No,TBD
AI-RTD-3W,L&L&L&G2|TE|24V,0&1&2&3,#+&#&#-&#SH,,,L&L&L&G2|TE|24V|0&1&2&3|#+&#&#-&#SH,TE,IT,None,No,No,TBD
AI-RTD-3W,L&L&L&G2|WAGO|24V,0&1&2&3,#+&#&#-&#SH,,,L&L&L&G2|WAGO|24V|0&1&2&3|#+&#&#-&#SH,WAGO,IT,None,No,No,TBD
AI-RTD-3W,L;L;L&G2|PXC|24V,0;1;2&3,#+&#&#-&#SH,,,L;L;L&G2|PXC|24V|0;1;2&3|#+&#&#-&#SH,PXC,MT&IT,None,No,No,TBD
AI-RTD-3W,L;L;L&G2|WAGO|24V,0;1;2&3,#+;#;#-&#SH,,,L;L;L&G2|WAGO|24V|0;1;2&3|#+;#;#-&#SH,WAGO,MT&IT,None,No,No,TBD
AI-RTD-3W,,,,,NO TERMINALS,,,,,,,
AI-TC,L;L|PXC|24V,0;2,#+;#-,SPECIALIZED THERMOCOUPLE TERMINALS,,L;L|PXC|24V|0;2|#+;#-,PXC,IT,None,No,No,TBD
AI-TC,L;L|TE|24V,0;2,#+;#-,SPECIALIZED THERMOCOUPLE TERMINALS,,L;L|TE|24V|0;2|#+;#-,TE,IT,None,No,No,TBD
AI-TC,L;L|WAGO|24V,0;2,#+;#-,SPECIALIZED THERMOCOUPLE TERMINALS,,L;L|WAGO|24V|0;2|#+;#-,WAGO,IT,None,No,No,TBD
AI-TC,,,,,NO TERMINALS,,,,,,,
AI-V-3W,Lj&L&G2|PXC|24V,0&1&3,#H&#&SH,,,Lj&L&G2|PXC|24V|0&1&3|#H&#&SH,PXC,IT,None,No,No,TBD
AI-V-3W,Lj&L&G2|TE|24V,0&1&3,#H&#&SH,,,Lj&L&G2|TE|24V|0&1&3|#H&#&SH,TE,IT,None,No,No,TBD
AI-V-3W,Lj&L&G2|WAGO|24V,0&1&3,#H&#&SH,,,Lj&L&G2|WAGO|24V|0&1&3|#H&#&SH,WAGO,IT,None,No,No,TBD
AI-V-3W,Lj;L;G|PXC|24V,0;1;3,#A;#B;#SH,,,Lj;L;G|PXC|24V|0;1;3|#A;#B;#SH,PXC,MT,None,No,No,TBD
AI-V-3W,Lj;L;G|TE|24V,0;1;3,#A;#B;#SH,,,Lj;L;G|TE|24V|0;1;3|#A;#B;#SH,TE,MT,None,No,No,TBD
AI-V-3W,Lj;L;G|WAGO|24V,0;1;3,#A;#B;#SH,,,Lj;L;G|WAGO|24V|0;1;3|#A;#B;#SH,WAGO,MT,None,No,No,TBD
AI-V-3W,Lj;L;Lj&G2|PXC|24V,0;1;3,#A;#B;#C&SH,,,Lj;L;Lj&G2|PXC|24V|0;1;3|#A;#B;#C&SH,PXC,MT&IT,None,No,No,TBD
AI-V-3W,Lj;L;Lj&G2|WAGO|24V,0;1;3,#A;#B;#C&SH,,,Lj;L;Lj&G2|WAGO|24V|0;1;3|#A;#B;#C&SH,WAGO,MT&IT,None,No,No,TBD
AI-V-3W,,,,,NO TERMINALS,,,,,,,
AO-C,F&L&G2|PXC|24V,0&2&3,#+&#-&SH,,INTERSTATES F-IT,F&L&G2|PXC|24V|0&2&3|#+&#-&SH,PXC,IT,Fused,No,No,TBD
AO-C,F;L&G2|PXC|24V,0;2&3,#A;#B&SH,,INTERSTATES F-MT,F;L&G2|PXC|24V|0;2&3|#A;#B&SH,PXC,MT&IT,Fused,No,No,TBD
AO-C,F;L&G2|TE|24V,0;2&3,#&;#-&SH,,,F;L&G2|TE|24V|0;2&3|#&;#-&SH,TE,MT&IT,Fused,No,No,TBD
AO-C,F;L&G2|WAGO|24V,0;2&3,#&;#-&SH,,,F;L&G2|WAGO|24V|0;2&3|#&;#-&SH,WAGO,MT&IT,Fused,No,No,TBD
AO-C,K;L&G2|TE|24V,0;2&3,#A;#B&SH,,AGP D-MT,K;L&G2|TE|24V|0;2&3|#A;#B&SH,TE,MT,None,No,No,TBD
AO-C,L&L&G2|PXC|24V,0&2&3,#+&#-&SH,,INTERSTATES NF-IT,L&L&G2|PXC|24V|0&2&3|#+&#-&SH,PXC,IT,None,No,No,TBD
